budget_id,budget_flops,schedule_regime,model_name,n_layer,n_head,n_embd,num_params,target_train_tokens,actual_train_tokens,actual_compute_proxy,fixed_schedule_horizon_steps,runs,mean_train_steps,mean_final_val_loss,std_final_val_loss,mean_best_val_loss,mean_final_test_loss,mean_runtime_sec,mean_tokens_per_second,actual_d_over_n,token_parameter_ratio
1,2000000000000.0,matched,gpt_3l_64d,3,4,64,174656,1908513.4970074508,1908736,2000233168896.0,1440,3,932.0,2.4757953882217407,0.0005358852226343191,2.4756482799847923,2.4701877673466996,5.731156984965007,333129.0755869568,10.928545254672041,10.928545254672041
1,2000000000000.0,matched,gpt_3l_72d,3,4,72,217224,1534514.2955351772,1536000,2001936384000.0,1440,3,750.0,2.4797077616055803,0.0012106849101866696,2.4797077616055803,2.472820460796356,5.03439990679423,305524.2574217326,7.071041873826097,7.071041873826097
1,2000000000000.0,matched,gpt_3l_80d,3,4,80,264400,1260716.0867372667,1261568,2001351475200.0,1440,3,616.0,2.485540759563446,0.0034509173901141133,2.485540759563446,2.4797022660573322,3.778297503789266,334719.43781342334,4.771437216338881,4.771437216338881
1,2000000000000.0,matched,gpt_4l_80d,4,4,80,342240,973975.3779024467,974848,2001791877120.0,1440,3,476.0,2.511346785227458,0.0013723962303006413,2.511346785227458,2.5036497116088867,4.010119358698527,244043.2307515409,2.8484338475923328,2.8484338475923328
1,2000000000000.0,matched,gpt_4l_96d,4,4,96,484416,688113.7975073765,688128,2000041279488.0,1440,3,336.0,2.5269980430603027,0.001349142994739377,2.5269980430603027,2.519964857896169,2.54516609509786,270410.1513880599,1.4205311137534682,1.4205311137534682
1,2000000000000.0,matched,gpt_5l_96d,5,4,96,596256,559043.9900534893,559104,2000214687744.0,1440,3,273.0,2.554148177305857,0.0008011270263659554,2.554148177305857,2.54848484992981,2.3648929595947266,236491.5734535173,0.9376911930445982,0.9376911930445982
2,3200000000000.0,fixed,gpt_2l_16d,2,4,16,12736,41876046.901172526,41877504,3200111345664.0,2649,3,20448.0,2.4978387912114464,0.002970555946190423,2.4978387912114464,2.490577026208242,62.76072915395101,667665.617604184,3288.120603015075,3288.120603015075
2,3200000000000.0,fixed,gpt_2l_20d,2,4,20,17840,29895366.218236174,29896704,3200143196160.0,2649,3,14598.0,2.483902060985565,0.001225145888638762,2.4837542176246643,2.4774561762809753,44.05728793144226,679156.628724852,1675.8242152466369,1675.8242152466369
2,3200000000000.0,fixed,gpt_2l_24d,2,4,24,23712,22492127.75528565,22493184,3200150274048.0,2304,3,10983.0,2.4782240788141885,0.00259278233362605,2.4782240788141885,2.4732550462086995,52.1356790860494,431480.0391130015,948.5991902834008,948.5991902834008
2,3200000000000.0,fixed,gpt_2l_28d,2,4,28,30352,17571604.287471447,17571840,3200042926080.0,2304,3,8580.0,2.4719194809595746,0.0013218647247899046,2.471766901016235,2.466758688290914,40.605380376180015,432844.0362711788,578.9351607801792,578.9351607801792
